run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
56.8,M2,16,bst,1097060,5952,3968,37173986
57.1,M2,16,list,311054,1665,2692,13790374755
57.2,M2,16,list,63679,707,1140,5869589090
57.3,M2,16,list,50226,637,1048,5485581874
57.4,M2,16,list,529527,865,1388,7325778007
57.5,M2,16,list,892501,2286,3668,19268680095
57.6,M2,16,list,141749,469,760,4046113014
57.7,M2,16,list,375413,1178,1880,9838256120
57.8,M2,16,list,998922,2486,3968,20937278985
58.1,M2,16,hash,171145,1665,2692,1535892
58.2,M2,16,hash,40113,707,1140,593185
58.3,M2,16,hash,37259,637,1048,533103
58.4,M2,16,hash,113932,865,1388,699996
58.5,M2,16,hash,435414,2286,3668,1724958
58.6,M2,16,hash,88719,469,760,356674
58.7,M2,16,hash,233702,1178,1880,854969
58.8,M2,16,hash,366649,2486,3968,1798868
59.1,M2,16,avl,311054,1665,2692,9917974
59.2,M2,16,avl,63679,707,1140,4083156
59.3,M2,16,avl,50226,637,1048,3657817
59.4,M2,16,avl,529527,865,1388,4814863
59.5,M2,16,avl,892501,2286,3668,12492895
59.6,M2,16,avl,141749,469,760,2669095
59.7,M2,16,avl,375413,1178,1880,6420135
59.8,M2,16,avl,998922,2486,3968,13641119
60.1,M2,16,bst,311054,1665,2692,12889146
60.2,M2,16,bst,63679,707,1140,5296230
60.3,M2,16,bst,50226,637,1048,4877805
60.4,M2,16,bst,529527,865,1388,6376981
60.5,M2,16,bst,892501,2286,3668,16537189
60.6,M2,16,bst,141749,469,760,3439903
60.7,M2,16,bst,375413,1178,1880,8506059
60.8,M2,16,bst,998922,2486,3968,18196344
